HIP,_RA_icrs,_DE_icrs,Vmag,Plx,ecl_lat
101027,307.21505826,-17.8136869,4.77,33.04,1.1982597985628558
23497,75.7739472,21.58996241,4.62,20.01,-1.1992162785723273
111123,337.66173361,-10.67795002,4.82,12.29,-1.2280549837911314
19038,61.17381506,22.08192566,4.36,18.04,1.2598154174199085
25539,81.90868809,21.93696527,4.88,4.69,-1.2918069033013282
54182,166.25428061,7.33600733,4.62,34.54,1.3412975107921974
60129,184.97648721,-0.66680331,3.89,13.06,1.3652739870343416
105515,320.5616509,-16.83454243,4.28,15.13,-1.366798514156322
97290,296.59058063,-19.76111311,4.87,15.92,1.407107209284142
49637,151.97612834,9.99750785,4.39,11.89,-1.4195737718035812
94141,287.44097099,-21.02361486,2.88,7.41,1.4370740110622684
80343,246.02576647,-20.03732689,4.48,18.32,1.5529568788929704
8198,26.34846064,9.15773579,4.26,12.63,-1.620247470829515
79374,242.99889379,-19.46070821,4.0,7.47,1.6332682419915865
93085,284.43250651,-21.1066543,3.52,8.76,1.6612388529486373
55434,170.28414306,6.02932171,4.05,15.24,1.6968644714872494
86736,265.85747282,-21.68319399,4.86,57.0,1.7007423878422967
64238,197.48746449,-5.53900959,4.38,7.86,1.742876606122983
80473,246.39632325,-23.4471785,4.57,8.27,-1.757475354387686
14838,47.90735613,19.72667738,4.35,19.44,1.8239487422103808
84970,260.50241,-24.99954543,3.27,5.79,-1.8435165953721788
74392,228.05537543,-19.79171054,4.54,8.66,-1.849521479057498
78401,240.08335942,-22.62170993,2.29,8.12,-1.9860530586633214
84893,260.2515588,-21.11293262,4.39,57.48,2.0191418959672482
34088,106.02721594,20.57029706,4.01,2.79,-2.0388376281550062
65474,201.29824701,-11.16132203,0.98,12.44,-2.054491158659503
32246,100.98302496,25.13112417,3.06,3.61,2.0699678184418877
109139,331.60929021,-13.86967906,4.29,18.9,-2.0810052155113032
90496,276.99266896,-25.42170011,2.82,42.2,-2.135618420016848
3786,12.17060122,7.58507917,4.44,10.69,2.176568119385106
26451,84.4111907,21.14254914,2.97,7.82,-2.1956187907162583
40167,123.05302569,17.64777069,4.67,39.11,-2.267487756871735
89341,273.44087411,-21.05883369,3.84,0.11,2.3420828567219196
28237,89.49856601,25.95391186,4.81,1.55,2.5154062755113493
53807,165.14020255,3.61749404,4.84,9.54,-2.5172284724766834
106985,325.02273477,-16.6623077,3.69,23.48,-2.5572823836121876
20889,67.15416474,19.18043155,3.53,21.04,-2.5671604930940926
107556,326.76018807,-16.12728595,2.85,84.58,-2.6016712722527413
37908,116.53103014,18.51004352,4.89,9.55,-2.648215329004826
80079,245.15908631,-24.16932002,4.55,2.77,-2.654782560501811
110003,334.20848509,-7.78329031,4.17,17.04,2.706857572597788
90289,276.33766953,-20.54167899,4.81,5.46,2.7670239458683916
61941,190.41517626,-1.44937487,2.74,84.53,2.790291666450493
114939,349.21224791,-7.72650369,4.93,5.09,-2.8415430103265855
15110,48.72540048,21.04444121,4.87,9.59,2.891674817375624
69427,213.22394074,-10.2737018,4.18,14.59,2.9129904717274946
94643,288.88511604,-25.25668251,4.86,9.89,-2.927929667203602
69269,212.71035755,-16.30203004,4.93,6.02,-2.9362228098147454
104019,316.10125178,-19.85499065,4.82,20.64,-2.992018230069333
56647,174.2372109,-0.82374868,4.3,18.31,-3.0453887164982496
30883,97.24077812,20.21213298,4.13,6.49,-3.0563414779011886
7007,22.5463128,6.14382046,4.84,9.05,-3.0639560271296213
37740,116.11189245,24.3979926,3.57,22.73,3.078540292696224
66006,202.99118799,-6.25581614,4.68,7.55,3.122242494619747
118209,359.66823972,-3.55598321,4.88,14.58,-3.1303018982567474
46771,142.9864117,11.29982653,4.99,13.67,-3.1555737136742437
27913,88.59576026,20.27617455,4.39,115.43,-3.1566863242188337
42806,130.82144197,21.46850069,4.66,20.58,3.190494168698326
80569,246.75597864,-18.45625099,4.22,6.67,3.2237219982235925
80815,247.5519821,-25.11522381,4.79,8.3,-3.2411027230376765
94820,289.40866411,-18.95290801,4.88,6.09,3.258617468064694
96465,294.17680514,-24.883623,4.59,17.24,-3.2594360313178017
28716,90.97993717,20.13845182,4.64,0.1,-3.297704591587604
116928,355.51169238,1.78004078,4.49,32.38,3.4175791658111483
62985,193.58818053,-9.5389944,4.77,7.82,-3.4330297344700513
92855,283.81635716,-26.29672225,2.05,14.54,-3.4495172390461835
61740,189.81152882,-7.99556433,4.66,10.24,-3.4681171733568505
77853,238.45640848,-16.72929352,4.13,20.02,3.471787074674418
84405,258.83740933,-26.60282934,4.33,167.08,-3.5497195896618523
89678,274.51329535,-27.04264123,4.66,4.66,-3.6664227218994543
20648,66.37243249,17.92791025,4.3,22.05,-3.687633629801011
47508,145.28763669,9.892308,3.52,24.12,-3.7572079603518724
49029,150.05336089,8.04422312,4.68,6.21,-3.9119737711259632
17847,57.29059399,24.05341547,3.62,8.57,3.917475057297384
92041,281.41411035,-26.99077831,3.17,14.14,-3.9540041590441803
17608,56.58155765,23.94835836,4.14,9.08,3.955834396091708
20455,65.73372189,17.5425142,3.77,21.29,-3.969509360126644
114855,348.97289447,-9.08773691,4.24,21.97,-4.001589609399632
80112,245.29715015,-25.59279641,2.9,4.44,-4.037367477105399
17702,56.87115217,24.10513715,2.85,8.87,4.050950327694929
20542,66.02400423,17.44413026,4.8,22.36,-4.111695685889937
76742,235.07039743,-23.81807829,4.97,8.55,-4.1383625939609034
13914,44.8030237,21.34042885,4.63,11.15,4.174613518195399
27830,88.33185862,27.61226208,4.56,7.45,4.181552452841198
17499,56.2189055,24.11333922,3.72,8.8,4.189841983596527
95168,290.41816155,-17.84719749,3.92,26.79,4.224030535942268
23835,76.8625253,18.64505209,4.91,63.02,-4.227290506560609
10324,33.24998125,8.8467173,4.36,9.01,-4.266907577533144
115033,349.47589677,-9.18251333,4.41,10.13,-4.283358904322688
76333,233.88157906,-14.78953681,3.91,21.42,4.385929171504578
17573,56.45669431,24.36774851,3.87,9.06,4.390013861098838
87072,266.89010281,-27.83078848,4.53,3.03,-4.421266949273504
