time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01-10 12:00,-7.312808033333334,-7.613283733333334,-7.5076725,-7.389013233333333,-7.3126089499999996,-7.621188583333334,-7.5088616,-7.4252860499999995,-7.322846533333333,-7.6338910166666665,-7.541625666666667,-7.422042966666667,-7.326556883333334,-7.623066133333333,-7.4983605833333336,-7.413988383333333,-7.314609333333333,-7.618470966666666,-7.5227882500000005,-7.409562233333333,-7.3248527333333335,-7.6418376666666665,-7.5341104,-7.443748866666667,-7.3383342166666665,-7.627678733333334,-7.523636033333333,-7.416204899999999,-7.3263779,-7.6359569,-7.524613566666667
01-11 12:00,-7.71423945,-8.010413116666667,-7.905098466666667,-7.78792125,-7.7167388,-8.014931283333333,-7.9061613500000005,-7.826300766666666,-7.7232797500000006,-8.029530783333334,-7.938772999999999,-7.820196816666667,-7.7303024166666665,-8.0168842,-7.894560083333333,-7.8146784,-7.7146233833333335,-8.013234416666666,-7.91998945,-7.806843616666667,-7.72744655,-8.035180516666667,-7.929242883333333,-7.8442825,-7.738585416666667,-8.021662433333335,-7.920700266666667,-7.812872233333334,-7.7279172166666665,-8.029366849999999,-7.918822916666667
01-12 12:00,-8.106017866666667,-8.3976846,-8.29232535,-8.177264783333333,-8.111125666666666,-8.398494933333334,-8.2938659,-8.21728235,-8.113934283333332,-8.415372549999999,-8.32568025,-8.208669583333334,-8.124424566666667,-8.400431116666667,-8.2811567,-8.20542115,-8.1047259,-8.398268583333333,-8.306957983333334,-8.1943583,-8.120526183333332,-8.418176766666667,-8.314694866666667,-8.234929016666666,-8.12881945,-8.405934933333333,-8.30758425,-8.19965155,-8.1199935,-8.412393166666666,-8.303255133333334
01-13 12:00,-8.487853133333333,-8.774649383333333,-8.669028433333333,-8.556722233333334,-8.495302733333334,-8.771596366666667,-8.6715886,-8.59781535,-8.494523449999999,-8.7909857,-8.701999733333334,-8.587153316666667,-8.50845725,-8.7734115,-8.657794099999998,-8.585785433333333,-8.484631583333334,-8.773159616666668,-8.683319783333333,-8.571809983333333,-8.503634733333334,-8.790521283333334,-8.690135166666666,-8.615245516666667,-8.508739516666667,-8.780100766666667,-8.683895333333334,-8.576251133333333,-8.502173366666666,-8.784709983333332,-8.677596433333333
01-14 12:00,-8.859468366666666,-9.1408786,-9.034905966666667,-8.925982416666667,-8.868827616666666,-9.133970383333333,-9.038952583333334,-8.9675095,-8.864778883333335,-9.155955083333334,-9.067409533333334,-8.955354683333333,-8.881950383333333,-9.135551483333334,-9.024124050000001,-8.955361566666665,-8.854078016666667,-9.137504966666667,-9.048728066666666,-8.938919566666668,-8.8763214,-9.151932799999999,-9.0552425,-8.984808249999999,-8.87807505,-9.143773166666668,-9.049265466666666,-8.942399733333334,-8.8740253,-9.1460183,-9.04154745
01-15 12:00,-9.220594833333333,-9.495969800000001,-9.389677416666666,-9.284740950000002,-9.231290416666667,-9.485366766666667,-9.395592366666667,-9.326003716666666,-9.2244455,-9.509886616666668,-9.421612816666668,-9.3129913,-9.244478833333334,-9.486595566666667,-9.379806983333333,-9.313765983333333,-9.212821016666668,-9.490918316666667,-9.40286385,-9.295421266666667,-9.238151133333334,-9.502150349999999,-9.409704283333333,-9.343218816666667,-9.236577350000001,-9.4965785,-9.40335335,-9.297843033333333,-9.235127316666667,-9.49604285,-9.394821416666668
01-16 12:00,-9.57096705,-9.839551516666667,-9.733083233333334,-9.63269645,-9.582319183333334,-9.8255475,-9.741155116666667,-9.672970316666666,-9.573275916666667,-9.85241115,-9.764337633333334,-9.659787233333333,-9.595650116666667,-9.82630415,-9.724511766666666,-9.660646266666667,-9.560629133333332,-9.833033166666667,-9.745437316666665,-9.641058333333332,-9.588714416666667,-9.840930850000001,-9.753215149999999,-9.690109683333333,-9.584015466666667,-9.8381598,-9.745846550000001,-9.642339083333333,-9.585075333333332,-9.834529633333334,-9.7371413
01-17 12:00,-9.9103184,-10.17128565,-10.06488485,-9.969547383333332,-9.921583,-10.154284866666666,-10.075300916666666,-10.008118383333334,-9.911024916666666,-10.183186883333333,-10.09533715,-9.995468733333333,-9.935108916666668,-10.154452266666668,-10.05791545,-9.995685666666667,-9.897278133333334,-10.163505149999999,-10.076189016666666,-9.975578250000002,-9.927634933333334,-10.168047849999999,-10.085474666666666,-10.0251492,-9.920171683333333,-10.168179,-10.076464266666667,-9.975653283333333,-9.923490733333333,-10.161244633333332,-10.068236500000001
01-18 12:00,-10.238378483333333,-10.490867816666668,-10.3848655,-10.294989600000001,-10.248792483333334,-10.4713604,-10.397703166666668,-10.331195583333333,-10.237445133333333,-10.501900066666668,-10.414390166666667,-10.319760816666667,-10.262539550000001,-10.470829083333333,-10.379702483333334,-10.318606350000001,-10.222545983333333,-10.4820133,-10.394890516666667,-10.29872875,-10.254574499999999,-10.483291533333333,-10.406185833333332,-10.34804485,-10.244836999999999,-10.486318216666666,-10.394959316666666,-10.297553466666667,-10.250025749999999,-10.475973433333333,-10.387839566666665
01-19 12:00,-10.5548729,-10.79802665,-10.6928307,-10.608715333333333,-10.563698516666667,-10.776564516666667,-10.708049083333332,-10.641987550000001,-10.552285566666665,-10.808265016666667,-10.721301166666667,-10.6323849,-10.577666216666668,-10.775237883333334,-10.689565033333334,-10.629170933333334,-10.536209366666666,-10.788260083333334,-10.701344650000001,-10.6102545,-10.56923475,-10.7864693,-10.715053683333334,-10.658544633333333,-10.557806733333333,-10.79227975,-10.701119233333333,-10.6078063,-10.564366616666666,-10.7785218,-10.695683383333334
01-20 12:00,-10.859525,-11.0925223,-10.988608033333332,-10.910414733333333,-10.866089350000001,-11.069696816666667,-11.006041100000001,-10.940315566666667,-10.855292466666667,-11.102023333333333,-11.015900100000001,-10.9330585,-10.8802517,-11.067496366666667,-10.987204100000001,-10.927181633333333,-10.838042966666666,-11.081971133333333,-10.995384383333334,-10.909895966666666,-10.871357066666667,-11.077406483333334,-11.011785616666666,-10.9564364,-10.858878216666666,-11.0857861,-10.994765483333333,-10.906174983333333,-10.866234533333333,-11.068716366666667,-10.991499583333333
01-21 12:00,-11.152059916666667,-11.374144933333334,-11.272045850000001,-11.19978005,-11.155786883333333,-11.350566466666667,-11.2913992,-11.226032566666667,-11.146212766666668,-11.382943500000001,-11.298041066666666,-11.221497516666666,-11.170094716666666,-11.3474364,-11.272331966666666,-11.212477833333333,-11.127820683333335,-11.362895333333334,-11.2768707,-11.197390133333332,-11.160720383333334,-11.355946533333334,-11.29609325,-11.24154565,-11.147850166666666,-11.366579816666667,-11.275751433333333,-11.1924199,-11.155385233333334,-11.346405283333333,-11.275018633333334
01-22 12:00,-11.432209449999998,-11.642713283333334,-11.543010733333334,-11.4765134,-11.432642066666666,-11.618992533333333,-11.5638644,-11.499019183333333,-11.424798483333332,-11.650820633333332,-11.567600116666666,-11.49742135,-11.4470264,-11.614903683333333,-11.544676500000001,-11.484931866666667,-11.405318733333333,-11.630805149999999,-11.54568985,-11.472473616666667,-11.437138283333333,-11.621950450000002,-11.567697066666666,-11.51373155,-11.424524,-11.634424016666665,-11.543959333333333,-11.466300733333332,-11.4316075,-11.6114579,-11.545972449999999
01-23 12:00,-11.69971775,-11.898073983333335,-11.801383916666667,-11.740336016666667,-11.6965307,-11.8748037,-11.823202683333333,-11.7591795,-11.69081185,-11.90547705,-11.8244715,-11.760560133333334,-11.7109063,-11.869755916666666,-11.803986083333333,-11.744444549999999,-11.670319816666668,-11.885498266666668,-11.801749166666667,-11.734888033333334,-11.700455583333333,-11.875294983333333,-11.826333066666667,-11.772882933333333,-11.688706349999999,-11.889104083333333,-11.799296833333333,-11.727580983333333,-11.694721216666666,-11.863763383333332,-11.8041001
01-24 12:00,-11.954346266666667,-12.14010115,-12.047056483333334,-11.990997366666667,-11.94734925,-12.117837483333334,-12.069209583333333,-12.006436483333333,-11.944029683333333,-12.146763166666666,-12.068563333333334,-12.010663200000002,-11.96161835,-12.111860799999999,-12.050035166666667,-11.99094005,-11.922616883333335,-12.126799733333334,-12.044972516666666,-11.984386716666668,-11.950544733333334,-12.11586985,-12.071760433333333,-12.018913416666667,-11.940211766666666,-12.130430033333333,-12.041692933333334,-11.9760334,-11.944574999999999,-12.10322815,-12.049155383333334
01-25 12:00,-12.19587795,-12.368696283333332,-12.279924783333334,-12.228281966666666,-12.185011783333334,-12.347938966666668,-12.301714183333333,-12.2407265,-12.184247183333333,-12.374558866666666,-12.299792416666666,-12.24750615,-12.199067750000001,-12.3410932,-12.282629283333334,-12.224360833333332,-12.162016866666667,-12.354564883333333,-12.275294833333334,-12.220741983333333,-12.187302633333333,-12.343573866666667,-12.303768816666667,-12.25175735,-12.178865466666668,-12.3582398,-12.271093083333334,-12.2114457,-12.181044483333332,-12.329771966666668,-12.280915083333333
01-26 12:00,-12.424120033333333,-12.583788383333333,-12.499885983333334,-12.452013366666668,-12.409448216666668,-12.564959516666667,-12.520581933333334,-12.461993566666667,-12.411280150000001,-12.588774633333333,-12.518079083333333,-12.470896483333332,-12.423178766666666,-12.557332266666666,-12.5016093,-12.444662433333333,-12.388342733333333,-12.568682200000001,-12.492656383333333,-12.443751466666667,-12.410648366666667,-12.558310816666667,-12.52218375,-12.471365766666667,-12.404504916666667,-12.572402683333333,-12.487453016666667,-12.433625616666665,-12.404030583333334,-12.543323383333334,-12.499186
01-27 12:00,-12.638905266666665,-12.78533365,-12.706834483333333,-12.662055083333334,-12.620603216666666,-12.7687561,-12.725716383333333,-12.670184033333333,-12.624966266666666,-12.789352133333333,-12.723343133333334,-12.680676066666667,-12.63389375,-12.760458966666667,-12.706853933333333,-12.6518086,-12.601434816666666,-12.76907565,-12.6969978,-12.653242583333334,-12.620521933333332,-12.759985833333333,-12.726869766666665,-12.677702983333335,-12.616980866666667,-12.772822483333334,-12.690732733333334,-12.642404950000001,-12.613458866666667,-12.7438151,-12.703809699999999
01-28 12:00,-12.840092283333332,-12.973315016666668,-12.900660083333333,-12.858309783333334,-12.8184362,-12.959191166666667,-12.917058733333333,-12.8652438,-12.825164916666667,-12.97626365,-12.915501116666666,-12.876722433333333,-12.831172883333332,-12.950354549999998,-12.898280699999999,-12.845767933333333,-12.801151033333333,-12.955705550000001,-12.888256516666667,-12.849075016666665,-12.816883633333333,-12.948502166666666,-12.917731250000001,-12.870743866666666,-12.816157516666667,-12.959439300000001,-12.880891133333334,-12.837641683333334,-12.809279116666666,-12.931179533333333,-12.894664866666666
01-29 12:00,-13.027564883333334,-13.147740383333334,-13.081248166666667,-13.040716883333333,-13.002921216666666,-13.136134449999998,-13.094585733333334,-13.047117266666667,-13.01175675,-13.1495108,-13.094465516666666,-13.0589479,-13.014994783333332,-13.126900616666667,-13.075845266666667,-13.026511716666667,-12.9873663,-13.128567299999998,-13.066365183333334,-13.031141133333334,-12.999714333333333,-13.123759683333333,-13.094711499999999,-13.050471716666667,-13.001912566666666,-13.132229566666666,-13.057883516666667,-13.0192208,-12.991465333333334,-13.105345866666665,-13.071668116666666
01-30 12:00,-13.2012313,-13.308640066666667,-13.248482433333333,-13.20924895,-13.174047016666666,-13.299466383333334,-13.258306533333332,-13.21574925,-13.184642683333333,-13.30912215,-13.260146516666667,-13.227297966666667,-13.185356483333333,-13.289981333333333,-13.239538933333334,-13.194013533333333,-13.159972250000001,-13.287688783333333,-13.231252516666666,-13.199365316666666,-13.1690157,-13.285654883333333,-13.25779015,-13.21687735,-13.174136983333334,-13.29120415,-13.2216611,-13.187053966666667,-13.160015766666668,-13.266238716666667,-13.234772883333333
01-31 12:00,-13.361024016666667,-13.456063449999998,-13.4022501,-13.363907866666667,-13.331816416666667,-13.449083066666667,-13.408258366666667,-13.371087533333334,-13.3437439,-13.455150066666667,-13.4124555,-13.3817488,-13.34227335,-13.439488133333333,-13.38938515,-13.3482501,-13.318877033333333,-13.433126333333332,-13.382846233333334,-13.353702033333333,-13.324809933333334,-13.434084350000001,-13.406979733333333,-13.369958783333335,-13.332735616666668,-13.436404900000001,-13.3721735,-13.341078616666666,-13.314952683333333,-13.413778933333333,-13.383967366666667
02-01 12:00,-13.5069,-13.590074333333332,-13.542449083333334,-13.504720533333334,-13.4762448,-13.584902066666666,-13.544502450000001,-13.513086499999998,-13.4890022,-13.58766655,-13.551310333333333,-13.522303933333335,-13.48577785,-13.575326116666668,-13.525435316666666,-13.489203049999999,-13.464006166666667,-13.564960116666667,-13.521077466666666,-13.494134,-13.467138616666666,-13.568950466666667,-13.542321116666667,-13.50972145,-13.477628416666667,-13.567900883333333,-13.509372299999999,-13.481256883333334,-13.456321033333333,-13.547887533333332,-13.519270916666667
